,id,name,beginYear,endYear,description,countries
92,07b997d9-d837-4626-a9df-cf7763313fde,1415 Event 1,1415,1415,1415: Battle of Agincourt fought between the Kingdom of England and France.,[]
93,07be075c-bc66-437c-be0f-5255191e00c1,1711 Event 1,1711,1711,1710–1711: Ottoman Empire fights Russia in the Russo-Turkish War.,[]
94,07c8fae4-63d2-457c-9644-9f7f6e31e504,1754 Event 1,1754,1754,1754: King's College is founded by a royal charter of George II of Great Britain.&#91;15&#93;,[]
95,07ccd96d-b289-4095-a984-db480868620c,1988 Event 10,1988,1988,November 8: George H. W. Bush is elected President of the United States.,[]
96,07e11d3c-86f6-41c0-be0a-4d892bf7d6e1,1929 Event 8,1929,1929,First people sent to the gulag in the Soviet Union as Stalin assumes effective control.,[]
97,07f2c797-543a-4274-8f99-e6790d71451d,1549 Event 1,1549,1549,"1549: Tomé de Sousa establishes Salvador in Bahia, north-east of Brazil.",[]
98,07f6ed4c-fae5-4c1f-ac1f-82628f5f57fb,1444 Event 1,1444,1444,1444: Ottoman Empire under Sultan Murad II defeats the Polish and Hungarian armies under Władysław III of Poland and János Hunyadi at the Battle of Varna.,[]
99,080b75a5-ca4e-40f2-aaf7-9e88b45ec4ee,1905 Event 6,1905,1905,"October 16: The British Indian Province of Bengal, partitioned by the Viceroy of India, Lord Curzon, despite strong opposition.",[]
100,08104bb1-59b2-4ea8-a659-1f4f363bb564,1915 Event 1,1915,1915,"April 22: Second Battle of Ypres begins, first widespread use of poison gas.",[]
101,08310deb-93c4-4ce3-af9a-c2f72815ef55,1994 Event 10,1994,1994,May 6: Opening of the Channel Tunnel.,[]
102,085a9fa1-0835-46cf-ac8f-454d89e258fc,1931 Event 6,1931,1931,"September: Japan invades Manchuria, part of the chain of events leading to the start of World War II.",[]
103,089f951c-6731-48b8-b720-8fb2a6e3d415,1699 Event 1,1699,1699,1697-1699: Grand Embassy of Peter the Great.,[]
104,08ac265b-1454-423f-a713-1f0585f7bd9c,1722 Event 1,1722,1722,1722: Bartholomew Roberts is killed in a sea battle off the African coast.,[]
